Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
how to make qr codes,Informational,n/a,0,390,,n/a,n/a,91,1.25,0.72,Go to a snapshot of the SERP for how to make qr codes,107,1 month
how to set up qr code for website,Informational,n/a,0,390,,n/a,n/a,47,2.21,0.76,7,101,1 month
kod qr,Informational,n/a,0,390,,n/a,n/a,68,0.48,0.16,Go to a snapshot of the SERP for kod qr,93,1 month
make a qr code online free,Commercial,n/a,0,390,,n/a,n/a,84,0.83,0.72,Go to a snapshot of the SERP for make a qr code online free,133,1 month
make qr,Commercial,n/a,0,390,,n/a,n/a,84,1.03,0.77,4,133,1 month
oysiyl qr code,Navigational,n/a,0,390,,n/a,n/a,38,0.00,0.01,5,102,1 month
qf code,Informational,n/a,0,390,,n/a,n/a,69,0.72,0.10,Go to a snapshot of the SERP for qf code,46,1 month
qr code generator canva,Transactional | Navigational,n/a,0,390,,n/a,n/a,40,1.41,0.27,6,105,1 month
qr code generator login,Transactional | Navigational,n/a,0,390,,n/a,n/a,78,0.78,0.16,Go to a snapshot of the SERP for qr code generator login,113,1 month
qr code generator online,Commercial,n/a,0,390,,n/a,n/a,73,0.90,0.61,Go to a snapshot of the SERP for qr code generator online,133,1 month
qr code generator with logo,Commercial,n/a,0,390,,n/a,n/a,59,1.55,0.63,Go to a snapshot of the SERP for qr code generator with logo,124,1 month
qr code reader from picture,Informational,n/a,0,390,,n/a,n/a,53,0.40,0.22,5,135,1 month
qr creator online,Commercial,n/a,0,390,,n/a,n/a,75,0.79,0.56,Go to a snapshot of the SERP for qr creator online,223M,1 month
qr generator google,Informational,n/a,0,390,,n/a,n/a,70,0.83,0.59,Go to a snapshot of the SERP for qr generator google,106,1 month
qr generator online free,Commercial,n/a,0,390,,n/a,n/a,84,0.89,0.73,Go to a snapshot of the SERP for qr generator online free,132,1 month
qr kod,Commercial,n/a,0,390,,n/a,n/a,86,0.48,0.16,Go to a snapshot of the SERP for qr kod,106,1 month
qr koder,Informational,n/a,0,390,,n/a,n/a,71,0.72,0.10,Go to a snapshot of the SERP for qr koder,135,1 month
qr link,Informational,n/a,0,390,,n/a,n/a,87,0.52,0.71,5,131,1 month
qr scanner for free,Informational,n/a,0,390,,n/a,n/a,34,0.46,0.51,5,122,1 month
qrcode creator,Informational,n/a,0,390,,n/a,n/a,87,0.79,0.73,Go to a snapshot of the SERP for qrcode creator,135,1 month
test qr code,Informational,n/a,0,390,,n/a,n/a,37,0.78,0.03,7,136,1 month
adobe express qr code generator,Informational | Navigational,n/a,0,320,,n/a,n/a,37,1.16,0.10,5,111,1 month
adobe qr codes,Informational | Navigational,n/a,0,320,,n/a,n/a,38,1.13,0.03,Go to a snapshot of the SERP for adobe qr codes,140,1 month
best qr code generator,Commercial,n/a,0,320,,n/a,n/a,59,1.99,0.58,Go to a snapshot of the SERP for best qr code generator,125,1 month
bulk qr code generator,Informational,n/a,0,320,,n/a,n/a,28,0.80,0.16,Go to a snapshot of the SERP for bulk qr code generator,123,1 month
create a qr code for a website,Informational,n/a,0,320,,n/a,n/a,79,2.28,0.71,7,115,1 month
create qr code for link,Commercial,n/a,0,320,,n/a,n/a,84,1.84,0.75,7,119,1 month
create qr code with link,Commercial,n/a,0,320,,n/a,n/a,80,1.84,0.75,4,120,1 month
create qr generator,Commercial,n/a,0,320,,n/a,n/a,n/a,1.02,0.75,5,136,1 month
create qrcode,Commercial,n/a,0,320,,n/a,n/a,86,1.50,0.77,Go to a snapshot of the SERP for create qrcode,130,1 month
custom qr code,Informational,n/a,0,320,,n/a,n/a,78,1.54,0.83,4,122,1 month
free qr code generator online,Informational,n/a,0,320,,n/a,n/a,84,0.89,0.73,4,132,1 month
generate barcode online for free,Navigational,n/a,0,320,,n/a,n/a,57,0.78,0.10,3,103,1 month
generate qr code for url,Commercial,n/a,0,320,,n/a,n/a,85,1.13,0.77,Go to a snapshot of the SERP for generate qr code for url,117,1 month
generate qr code generator,Commercial,n/a,0,320,,n/a,n/a,84,1.02,0.75,3,138,1 month
generate qr codes,Commercial,n/a,0,320,,n/a,n/a,84,1.02,0.75,Go to a snapshot of the SERP for generate qr codes,134,1 month
google form qr code,Informational,n/a,0,320,,n/a,n/a,28,1.04,0.57,8,99,1 month
how create qr code,Informational,n/a,0,320,,n/a,n/a,85,1.55,0.72,5,105,1 month
how do i create a qr code for a website,Informational,n/a,0,320,,n/a,n/a,47,2.21,0.76,5,103,1 month
how to create a scan code for a website,Informational,n/a,0,320,,n/a,n/a,68,2.21,0.76,Go to a snapshot of the SERP for how to create a scan code for a website,42,1 month
how to create qr codes,Informational,n/a,0,320,,n/a,n/a,89,1.55,0.72,Go to a snapshot of the SERP for how to create qr codes,113,1 month
how to generate qr code for website,Informational,n/a,0,320,,n/a,n/a,86,2.51,0.76,Go to a snapshot of the SERP for how to generate qr code for website,112,1 month
how to get a qr code for a website,Informational,n/a,0,320,,n/a,n/a,70,2.25,0.75,Go to a snapshot of the SERP for how to get a qr code for a website,105,1 month
how to make a qr scan code for a website,Informational,n/a,0,320,,n/a,n/a,46,2.21,0.76,Go to a snapshot of the SERP for how to make a qr scan code for a website,44,1 month
kuerkod,Navigational,n/a,0,320,,n/a,n/a,66,0.00,0.33,Go to a snapshot of the SERP for kuerkod,138,1 month
make qr code for website,Commercial,n/a,0,320,,n/a,n/a,76,2.28,0.71,7,122,1 month
make qr codes,Commercial,n/a,0,320,,n/a,n/a,82,1.18,0.77,3,133,1 month
monkey code,Navigational,n/a,0,320,,n/a,n/a,62,0.79,0.28,Go to a snapshot of the SERP for monkey code,129,1 month
print a qr code,Informational,n/a,0,320,,n/a,n/a,21,1.50,0.34,6,134,1 month
printable qr code,Informational,n/a,0,320,,n/a,n/a,80,1.50,0.34,Go to a snapshot of the SERP for printable qr code,126,1 month
qcode monkey,Informational | Transactional,n/a,0,320,,n/a,n/a,21,0.33,0.31,Go to a snapshot of the SERP for qcode monkey,98,1 month
qr barcode,Informational,n/a,0,320,,n/a,n/a,67,0.72,0.10,Go to a snapshot of the SERP for qr barcode,136,1 month
qr barcode generator,Informational,n/a,0,320,,n/a,n/a,66,0.79,0.71,Go to a snapshot of the SERP for qr barcode generator,107,1 month
qr barcode maker,Informational,n/a,0,320,,n/a,n/a,56,0.79,0.71,Go to a snapshot of the SERP for qr barcode maker,168,1 month
qr code for website,Informational,n/a,0,320,,n/a,n/a,88,1.98,0.43,Go to a snapshot of the SERP for qr code for website,118,1 month
qr code from image,Informational,n/a,0,320,,n/a,n/a,40,0.92,0.70,5,131,1 month
qr code from photo,Informational,n/a,0,320,,n/a,n/a,43,1.07,0.27,Go to a snapshot of the SERP for qr code from photo,127,1 month
qr code gen,Commercial,n/a,0,320,,n/a,n/a,84,0.79,0.71,Go to a snapshot of the SERP for qr code gen,137,1 month
qr code generate,Commercial,n/a,0,320,,n/a,n/a,82,0.79,0.71,3,136,1 month
qr code generator free no expiration,Informational,n/a,0,320,,n/a,n/a,72,1.04,0.78,Go to a snapshot of the SERP for qr code generator free no expiration,121,1 month
qr code generator monkey,Informational,n/a,0,320,,n/a,n/a,48,0.31,0.28,7,128,1 month
qr code genrator,Commercial,n/a,0,320,,n/a,n/a,82,0.79,0.71,3,136,1 month
qr code scanner picture,Informational,n/a,0,320,,n/a,n/a,34,0.37,0.13,5,196,1 month
qr code website logo,Commercial,n/a,0,320,,n/a,n/a,35,0.00,0.00,3,127,1 month
qr code with logo,Informational,n/a,0,320,,n/a,n/a,76,1.62,0.86,Go to a snapshot of the SERP for qr code with logo,123,1 month
qr could,Informational,n/a,0,320,,n/a,n/a,90,0.72,0.33,Go to a snapshot of the SERP for qr could,135,1 month
qr creation,Commercial,n/a,0,320,,n/a,n/a,86,0.65,0.70,6,132,1 month
qr generator.ai,Commercial,n/a,0,320,,n/a,n/a,n/a,1.25,0.59,0,85,1 month
qr maker online,Informational,n/a,0,320,,n/a,n/a,82,0.79,0.56,5,134,1 month
qr me,Navigational,n/a,0,320,,n/a,n/a,76,0.74,0.45,7,130,1 month
qr tag,Informational,n/a,0,320,,n/a,n/a,17,0.72,0.33,6,139,1 month
qr url,Commercial,n/a,0,320,,n/a,n/a,86,0.52,0.70,Go to a snapshot of the SERP for qr url,118,1 month
qrcode-monkey,Informational,n/a,0,320,,n/a,n/a,55,0.52,0.40,5,159,1 month
qrcodes,Informational,n/a,0,320,,n/a,n/a,85,0.72,0.33,Go to a snapshot of the SERP for qrcodes,134,1 month
qrkodu,Informational,n/a,0,320,,n/a,n/a,85,0.00,0.22,Go to a snapshot of the SERP for qrkodu,166,1 month
random barcode,Informational,n/a,0,320,,n/a,n/a,36,0.00,0.02,Go to a snapshot of the SERP for random barcode,130,1 month
random qr,Informational | Navigational,n/a,0,320,,n/a,n/a,26,0.64,0.20,6,99,1 month
random qr codes,Informational,n/a,0,320,,n/a,n/a,26,0.64,0.20,Go to a snapshot of the SERP for random qr codes,108,1 month
scan code creator,Commercial,n/a,0,320,,n/a,n/a,86,0.79,0.73,3,137,1 month
white qr code,Informational,n/a,0,320,,n/a,n/a,23,1.44,0.15,7,116,1 month
wix qr code generator,Transactional | Navigational,n/a,0,320,,n/a,n/a,26,1.62,0.13,Go to a snapshot of the SERP for wix qr code generator,107,1 month
barcode tec it,Navigational,n/a,0,260,,n/a,n/a,28,1.38,0.05,3,n/a,1 month
circular qr code,Informational,n/a,0,260,,n/a,n/a,59,1.12,0.56,7,73,1 month
convert link to qr code,Informational,n/a,0,260,,n/a,n/a,86,1.04,0.78,Go to a snapshot of the SERP for convert link to qr code,121,1 month
create qr code for business card,Informational,n/a,0,260,,n/a,n/a,31,3.03,0.68,Go to a snapshot of the SERP for create qr code for business card,121,1 month
create qr code free online,Commercial,n/a,0,260,,n/a,n/a,84,0.89,0.73,Go to a snapshot of the SERP for create qr code free online,132,1 month
create qr code online free,Commercial,n/a,0,260,,n/a,n/a,82,0.89,0.73,Go to a snapshot of the SERP for create qr code online free,133,1 month
create qr code with logo,Commercial,n/a,0,260,,n/a,n/a,52,1.55,0.63,4,118,1 month
create your own qr code,Informational,n/a,0,260,,n/a,n/a,86,1.22,0.60,Go to a snapshot of the SERP for create your own qr code,133,1 month
creating a qr code free,Informational,n/a,0,260,,n/a,n/a,86,1.13,0.76,Go to a snapshot of the SERP for creating a qr code free,129,1 month
cuercode,Informational,n/a,0,260,,n/a,n/a,67,0.72,0.33,Go to a snapshot of the SERP for cuercode,138,1 month
free qr code generator google,Informational,n/a,0,260,,n/a,n/a,84,0.92,0.70,Go to a snapshot of the SERP for free qr code generator google,128,1 month
free qr code generator no expiration,Informational,n/a,0,260,,n/a,n/a,73,1.27,0.82,Go to a snapshot of the SERP for free qr code generator no expiration,116,1 month
free qr code generator uk,Informational,n/a,0,260,,n/a,n/a,71,1.48,0.80,6,133,1 month
free qrcode maker,Commercial,n/a,0,260,,n/a,n/a,86,1.13,0.76,6,130,1 month
generate qr code online,Informational,n/a,0,260,,n/a,n/a,81,0.79,0.56,Go to a snapshot of the SERP for generate qr code online,131,1 month
generate qrcode,Commercial,n/a,0,260,,n/a,n/a,83,1.10,0.76,Go to a snapshot of the SERP for generate qrcode,133,1 month
google forms qr code,Informational,n/a,0,260,,n/a,n/a,36,1.04,0.57,8,82,1 month
how to create a qr barcode free,Informational,n/a,0,260,,n/a,n/a,83,1.46,0.68,Go to a snapshot of the SERP for how to create a qr barcode free,124,1 month
how to create a qr code for free,Informational,n/a,0,260,,n/a,n/a,88,1.46,0.68,Go to a snapshot of the SERP for how to create a qr code for free,112,1 month
how to create a qr code free,Informational,n/a,0,260,,n/a,n/a,88,1.46,0.68,Go to a snapshot of the SERP for how to create a qr code free,860M,1 month
how to create qr code for website,Informational,n/a,0,260,,n/a,n/a,81,2.21,0.76,Go to a snapshot of the SERP for how to create qr code for website,96,1 month
how to develop qr code,Informational,n/a,0,260,,n/a,n/a,85,1.16,0.72,Go to a snapshot of the SERP for how to develop qr code,110,1 month
how to get qr code for website,Informational,n/a,0,260,,n/a,n/a,84,2.21,0.76,5,106,1 month
how to make a qr scan code free,Informational,n/a,0,260,,n/a,n/a,83,1.46,0.68,Go to a snapshot of the SERP for how to make a qr scan code free,106,1 month
how to make scan code,Informational,n/a,0,260,,n/a,n/a,82,1.38,0.70,7,116,1 month
image qr code,Informational,n/a,0,260,,n/a,n/a,42,0.92,0.70,Go to a snapshot of the SERP for image qr code,129,1 month
link codigo qr,Informational,n/a,0,260,,n/a,n/a,72,0.57,0.73,Go to a snapshot of the SERP for link codigo qr,128,1 month
link to qr code generator,Commercial,n/a,0,260,,n/a,n/a,85,0.86,0.77,Go to a snapshot of the SERP for link to qr code generator,130,1 month
login qr code generator,Transactional | Navigational,n/a,0,260,,n/a,n/a,73,0.78,0.16,3,169,1 month
make free qr code,Commercial,n/a,0,260,,n/a,n/a,89,0.91,0.75,Go to a snapshot of the SERP for make free qr code,135,1 month
make your own qr code,Commercial,n/a,0,260,,n/a,n/a,86,1.22,0.60,6,130,1 month
me qe,Navigational,n/a,0,260,,n/a,n/a,36,0.74,0.45,Go to a snapshot of the SERP for me qe,148,1 month
monkeycode,Informational,n/a,0,260,,n/a,n/a,43,0.81,0.27,Go to a snapshot of the SERP for monkeycode,107,1 month
oqcode,Informational,n/a,0,260,,n/a,n/a,18,0.72,0.33,Go to a snapshot of the SERP for oqcode,2.8K,1 month
qr barcode free,Commercial,n/a,0,260,,n/a,n/a,80,1.09,0.79,6,133,1 month
qr cod,Informational,n/a,0,260,,n/a,n/a,87,0.72,0.33,Go to a snapshot of the SERP for qr cod,135,1 month
qr code by google,Informational,n/a,0,260,,n/a,n/a,50,0.73,0.89,5,105,1 month
qr code chimp,Navigational,n/a,0,260,,n/a,n/a,26,0.60,0.45,6,117,1 month
qr code creation,Informational,n/a,0,260,,n/a,n/a,86,0.79,0.73,Go to a snapshot of the SERP for qr code creation,36,1 month
qr code dynamisch,Informational | Commercial,n/a,0,260,,n/a,n/a,27,3.39,0.62,6,127,1 month
qr code for google form,Informational,n/a,0,260,,n/a,n/a,40,1.04,0.57,7,119,1 month
qr code generater,Commercial,n/a,0,260,,n/a,n/a,86,0.79,0.71,Go to a snapshot of the SERP for qr code generater,136,1 month
qr code generator .svg,Informational,n/a,0,260,,n/a,n/a,32,0.86,0.65,Go to a snapshot of the SERP for qr code generator .svg,114,1 month
qr code generator create,Commercial,n/a,0,260,,n/a,n/a,85,1.02,0.75,3,135,1 month
qr code generator wifi,Informational,n/a,0,260,,n/a,n/a,26,0.70,0.62,Go to a snapshot of the SERP for qr code generator wifi,117,1 month
qr code logo creator,Commercial,n/a,0,260,,n/a,n/a,60,1.55,0.63,6,122,1 month
qr code maker online free,Commercial,n/a,0,260,,n/a,n/a,86,0.83,0.72,Go to a snapshot of the SERP for qr code maker online free,130,1 month
qr code monkey generator,Navigational,n/a,0,260,,n/a,n/a,48,0.31,0.28,6,125,1 month
qr code photo scanner,Informational,n/a,0,260,,n/a,n/a,41,0.37,0.13,Go to a snapshot of the SERP for qr code photo scanner,194,1 month
qr codes free,Informational,n/a,0,260,,n/a,n/a,87,1.00,0.75,Go to a snapshot of the SERP for qr codes free,131,1 month
qr creater,Commercial,n/a,0,260,,n/a,n/a,84,0.74,0.73,Go to a snapshot of the SERP for qr creater,138,1 month
qr maker with logo,Commercial,n/a,0,260,,n/a,n/a,76,1.55,0.63,Go to a snapshot of the SERP for qr maker with logo,181,1 month
qr png,Informational,n/a,0,260,,n/a,n/a,29,1.30,0.09,Go to a snapshot of the SERP for qr png,97,1 month
qr sample,Informational,n/a,0,260,,n/a,n/a,29,0.73,0.66,Go to a snapshot of the SERP for qr sample,137,1 month
qr-code monkey,Informational,n/a,0,260,,n/a,n/a,43,0.52,0.40,5,161,1 month
qr.io,Navigational,n/a,0,260,,n/a,n/a,36,0.68,0.47,4,n/a,1 month
qrs generator,Informational,n/a,0,260,,n/a,n/a,82,0.79,0.71,6,137,1 month
quick response code,Informational,n/a,0,260,,n/a,n/a,49,0.00,0.04,Go to a snapshot of the SERP for quick response code,128,1 month
scanning qr code from image,Informational,n/a,0,260,,n/a,n/a,53,0.43,0.36,7,123,1 month
text to qr,Commercial,n/a,0,260,,n/a,n/a,79,0.18,0.32,2,105,1 month
text to qr code,Informational,n/a,0,260,,n/a,n/a,74,0.18,0.32,Go to a snapshot of the SERP for text to qr code,103,1 month
the qr code generator,Informational,n/a,0,260,,n/a,n/a,88,1.75,0.64,5,137,1 month
url generator,Informational,n/a,0,260,,n/a,n/a,89,1.05,0.25,5,132,1 month
wifi qr code maker,Informational,n/a,0,260,,n/a,n/a,34,0.66,0.71,3,117,1 month
adobe create qr code,Navigational,n/a,0,210,,n/a,n/a,36,1.44,0.08,6,107,1 month
adobe qr code maker,Navigational,n/a,0,210,,n/a,n/a,31,1.43,0.03,6,135,1 month
best free qr code maker,Informational | Commercial,n/a,0,210,,n/a,n/a,60,1.08,0.63,Go to a snapshot of the SERP for best free qr code maker,119,1 month
best qr code creator,Commercial,n/a,0,210,,n/a,n/a,62,1.99,0.58,Go to a snapshot of the SERP for best qr code creator,124,1 month
can you scan a qr code from a picture,Informational,n/a,0,210,,n/a,n/a,44,0.53,0.05,7,122,1 month
code for an image,Informational,n/a,0,210,,n/a,n/a,47,1.25,0.01,Go to a snapshot of the SERP for code for an image,133,1 month
code qr scan online,Informational | Commercial,n/a,0,210,,n/a,n/a,69,0.34,0.12,3,105,1 month
create qr,Commercial,n/a,0,210,,n/a,n/a,84,1.03,0.77,3,134,1 month
create qr code from link,Commercial,n/a,0,210,,n/a,n/a,79,1.10,0.72,5,123,1 month
create qr code link,Informational,n/a,0,210,,n/a,n/a,76,0.91,0.73,Go to a snapshot of the SERP for create qr code link,125,1 month
create qr code online,Commercial,n/a,0,210,,n/a,n/a,75,0.79,0.56,4,136,1 month
create your barcode,Informational,n/a,0,210,,n/a,n/a,57,0.79,0.50,Go to a snapshot of the SERP for create your barcode,20,1 month
custom qr code generator,Commercial,n/a,0,210,,n/a,n/a,80,1.65,0.29,4,130,1 month
dbl code generator,Commercial,n/a,0,210,,n/a,n/a,24,0.00,0.33,4,112,1 month
download qr code,Informational,n/a,0,210,,n/a,n/a,41,0.63,0.52,Go to a snapshot of the SERP for download qr code,137,1 month
dynamic qr code generator,Informational,n/a,0,210,,n/a,n/a,79,3.32,0.66,Go to a snapshot of the SERP for dynamic qr code generator,129,1 month
free online qr code scanner,Informational,n/a,0,210,,n/a,n/a,72,0.40,0.27,3,95,1 month
free qrcode,Informational,n/a,0,210,,n/a,n/a,85,1.09,0.79,4,132,1 month
generate qr code for website,Commercial,n/a,0,210,,n/a,n/a,72,2.28,0.71,3,121,1 month
get free barcode,Transactional,n/a,0,210,,n/a,n/a,55,0.78,0.10,Go to a snapshot of the SERP for get free barcode,129,1 month
get qr,Transactional,n/a,0,210,,n/a,n/a,22,0.75,0.62,5,127,1 month
go com qr,Informational,n/a,0,210,,n/a,n/a,39,0.00,0.00,6,106,1 month
google qr code maker,Informational,n/a,0,210,,n/a,n/a,80,0.83,0.59,7,128,1 month
google qr generator,Informational,n/a,0,210,,n/a,n/a,70,0.83,0.59,Go to a snapshot of the SERP for google qr generator,103,1 month
how can i create a qr code,Informational,n/a,0,210,,n/a,n/a,79,1.38,0.70,8,100,1 month
how do i generate a qr code,Informational,n/a,0,210,,n/a,n/a,84,1.58,0.69,Go to a snapshot of the SERP for how do i generate a qr code,120,1 month
how do i get a qr code,Informational,n/a,0,210,,n/a,n/a,88,1.58,0.69,6,47,1 month
how do you make a barcode,Informational,n/a,0,210,,n/a,n/a,47,0.94,0.60,Go to a snapshot of the SERP for how do you make a barcode,41,1 month
how to create qr code for a link,Informational,n/a,0,210,,n/a,n/a,80,1.52,0.78,8,100,1 month
how to generate a qr code for free,Informational,n/a,0,210,,n/a,n/a,82,1.46,0.68,Go to a snapshot of the SERP for how to generate a qr code for free,39,1 month
how to make a link a qr code,Informational,n/a,0,210,,n/a,n/a,78,1.57,0.74,6,46,1 month
how to make a qr code for free,Informational,n/a,0,210,,n/a,n/a,84,1.46,0.68,8,105,1 month
how to obtain qr code,Informational,n/a,0,210,,n/a,n/a,96,1.38,0.70,Go to a snapshot of the SERP for how to obtain qr code,105,1 month
how to set up a qr code,Informational,n/a,0,210,,n/a,n/a,75,1.16,0.67,Go to a snapshot of the SERP for how to set up a qr code,97,1 month
how to turn a link into a qr code,Informational,n/a,0,210,,n/a,n/a,64,1.40,0.72,7,103,1 month
make qr code with logo,Commercial,n/a,0,210,,n/a,n/a,34,1.55,0.63,Go to a snapshot of the SERP for make qr code with logo,123,1 month
make your own qr code generator,Informational,n/a,0,210,,n/a,n/a,86,1.22,0.60,7,133,1 month
meqr,Navigational,n/a,0,210,,n/a,n/a,19,0.59,0.26,8,n/a,1 month
monkey qr code generator,Informational,n/a,0,210,,n/a,n/a,41,0.31,0.28,7,113,1 month
my qr,Navigational,n/a,0,210,,n/a,n/a,55,1.08,0.51,Go to a snapshot of the SERP for my qr,n/a,1 month
pdf to qr code,Informational,n/a,0,210,,n/a,n/a,30,1.10,0.49,Go to a snapshot of the SERP for pdf to qr code,118,1 month
q r code,Informational,n/a,0,210,,n/a,n/a,90,0.72,0.33,Go to a snapshot of the SERP for q r code,133,1 month
qr builder,Commercial,n/a,0,210,,n/a,n/a,84,0.79,0.71,4,134,1 month
qr business card generator,Commercial,n/a,0,210,,n/a,n/a,65,3.03,0.68,5,108,1 month
qr chimp,Transactional | Navigational,n/a,0,210,,n/a,n/a,22,0.60,0.45,Go to a snapshot of the SERP for qr chimp,n/a,1 month
qr cide,Informational,n/a,0,210,,n/a,n/a,87,0.72,0.33,Go to a snapshot of the SERP for qr cide,136,1 month
qr code canva,Transactional | Navigational,n/a,0,210,,n/a,n/a,37,1.61,0.09,Go to a snapshot of the SERP for qr code canva,42,1 month
qr code generater ai,Commercial,n/a,0,210,,n/a,n/a,61,0.00,0.00,4,124,1 month
qr code generation,Commercial,n/a,0,210,,n/a,n/a,84,0.79,0.71,5,137,1 month
qr code generator log in,Transactional | Navigational,n/a,0,210,,n/a,n/a,72,0.76,0.14,Go to a snapshot of the SERP for qr code generator log in,n/a,1 month
qr code generator pdf,Commercial,n/a,0,210,,n/a,n/a,29,1.93,0.59,Go to a snapshot of the SERP for qr code generator pdf,122,1 month
qr code logo,Informational,n/a,0,210,,n/a,n/a,34,1.62,0.86,7,131,1 month
qr code making,Commercial,n/a,0,210,,n/a,n/a,87,0.65,0.70,Go to a snapshot of the SERP for qr code making,135,1 month
qr code online,Informational,n/a,0,210,,n/a,n/a,81,0.63,0.34,Go to a snapshot of the SERP for qr code online,110,1 month
qr code randomizer,Commercial,n/a,0,210,,n/a,n/a,78,0.64,0.20,4,114,1 month
qr code site internet,Informational,n/a,0,210,,n/a,n/a,65,2.08,0.62,Go to a snapshot of the SERP for qr code site internet,117,1 month
qr code to link,Informational,n/a,0,210,,n/a,n/a,48,0.73,0.74,4,120,1 month
qr code wifi generator,Informational,n/a,0,210,,n/a,n/a,28,0.58,0.61,6,120,1 month
qr cose,Informational,n/a,0,210,,n/a,n/a,87,0.86,0.33,Go to a snapshot of the SERP for qr cose,138,1 month
qr image,Informational,n/a,0,210,,n/a,n/a,32,1.15,0.76,7,135,1 month
qr maker monkey,Informational,n/a,0,210,,n/a,n/a,43,0.31,0.28,Go to a snapshot of the SERP for qr maker monkey,119,1 month
qr monkey code generator,Navigational,n/a,0,210,,n/a,n/a,68,0.31,0.28,7,114,1 month
qr photo,Informational,n/a,0,210,,n/a,n/a,33,1.07,0.27,Go to a snapshot of the SERP for qr photo,134,1 month
qr picture,Informational,n/a,0,210,,n/a,n/a,35,1.15,0.76,Go to a snapshot of the SERP for qr picture,81,1 month
qr scanner free,Commercial,n/a,0,210,,n/a,n/a,55,0.45,0.47,Go to a snapshot of the SERP for qr scanner free,133,1 month
qr site,Informational,n/a,0,210,,n/a,n/a,85,1.67,0.61,4,128,1 month
qr text generator,Commercial,n/a,0,210,,n/a,n/a,65,0.20,0.47,Go to a snapshot of the SERP for qr text generator,130,1 month
qrcode free generator,Informational,n/a,0,210,,n/a,n/a,83,1.13,0.76,3,61,1 month
qrcode picture,Informational,n/a,0,210,,n/a,n/a,41,0.92,0.70,Go to a snapshot of the SERP for qrcode picture,132,1 month
qrgenerator,Commercial,n/a,0,210,,n/a,n/a,87,0.79,0.71,Go to a snapshot of the SERP for qrgenerator,138,1 month
qrqr,Informational,n/a,0,210,,n/a,n/a,85,0.55,0.16,5,133,1 month
qrstuff,Transactional | Navigational,n/a,0,210,,n/a,n/a,34,0.85,0.60,8,113,1 month
quick response code generator,Informational,n/a,0,210,,n/a,n/a,87,0.79,0.71,Go to a snapshot of the SERP for quick response code generator,125,1 month
scan code generator,Commercial,n/a,0,210,,n/a,n/a,84,0.79,0.71,Go to a snapshot of the SERP for scan code generator,139,1 month
scan kode qr online,Commercial,n/a,0,210,,n/a,n/a,68,0.34,0.12,1,26,1 month
scan me qr code,Navigational,n/a,0,210,,n/a,n/a,75,0.90,0.30,5,140,1 month
site qr,Commercial,n/a,0,210,,n/a,n/a,86,1.67,0.61,5,126,1 month
url qr code generator,Informational,n/a,0,210,,n/a,n/a,82,1.13,0.77,Go to a snapshot of the SERP for url qr code generator,126,1 month
white qr,Informational,n/a,0,210,,n/a,n/a,32,1.44,0.15,5,174,1 month
генератор qr,Commercial,n/a,0,210,,n/a,n/a,56,0.40,0.25,Go to a snapshot of the SERP for генератор qr,95,1 month
barcode and qr code,Informational,n/a,0,170,,n/a,n/a,37,0.72,0.10,Go to a snapshot of the SERP for barcode and qr code,133,1 month
barcode maker website,Commercial,n/a,0,170,,n/a,n/a,57,0.74,0.09,Go to a snapshot of the SERP for barcode maker website,103,1 month
batch qr code generator,Informational,n/a,0,170,,n/a,n/a,27,0.80,0.16,5,110,1 month
code for a picture,Informational,n/a,0,170,,n/a,n/a,33,1.25,0.01,5,132,1 month
create dynamic qr code,Informational,n/a,0,170,,n/a,n/a,78,3.32,0.66,Go to a snapshot of the SERP for create dynamic qr code,126,1 month
create link qr code,Commercial,n/a,0,170,,n/a,n/a,84,0.86,0.77,Go to a snapshot of the SERP for create link qr code,127,1 month
create qr code for pdf,Informational,n/a,0,170,,n/a,n/a,38,1.93,0.59,4,122,1 month
create qr code for url,Commercial,n/a,0,170,,n/a,n/a,84,1.42,0.76,Go to a snapshot of the SERP for create qr code for url,118,1 month
create qr code free google,Informational,n/a,0,170,,n/a,n/a,70,0.92,0.70,6,104,1 month
create qr code google,Informational,n/a,0,170,,n/a,n/a,52,0.85,0.64,Go to a snapshot of the SERP for create qr code google,105,1 month
create qr code monkey,Informational | Transactional,n/a,0,170,,n/a,n/a,34,0.31,0.28,8,121,1 month
create qr link,Commercial,n/a,0,170,,n/a,n/a,84,1.84,0.75,8,130,1 month
free create qr code,Commercial,n/a,0,170,,n/a,n/a,84,1.13,0.76,Go to a snapshot of the SERP for free create qr code,131,1 month
free qr codes generator,Informational,n/a,0,170,,n/a,n/a,84,1.13,0.76,Go to a snapshot of the SERP for free qr codes generator,41,1 month
generate code,Commercial,n/a,0,170,,n/a,n/a,69,1.76,0.38,Go to a snapshot of the SERP for generate code,131,1 month
generate qr code web,Informational,n/a,0,170,,n/a,n/a,84,2.28,0.71,6,125,1 month
generate qr online,Commercial,n/a,0,170,,n/a,n/a,83,0.83,0.57,Go to a snapshot of the SERP for generate qr online,131,1 month
google create qr code,Informational,n/a,0,170,,n/a,n/a,52,0.85,0.64,6,107,1 month
gqr code,Informational,n/a,0,170,,n/a,n/a,87,0.72,0.33,Go to a snapshot of the SERP for gqr code,134,1 month
